nome,nascimento,antiguidade,
Paulo Mondadori Florence,11/7/1947,34.8191780822,
José Fernandes Freitas Neto,7/27/1952,27.5232876712,
Alberto de Amorim Micheli,9/10/1958,26.6191780822,
Raul José de Felice,8/18/1952,25.7808219178,
Alberto Anderson Filho,5/30/1954,25.7808219178,
Daise Fajardo Nogueira Jacot,3/2/1955,24.9835616438,
Flávio Abramovici,1/5/1958,24.9835616438,
Vicente de Abreu Amadei,6/6/1962,24.9835616438,
Antonio Tadeu Ottoni,11/8/1949,32.9287671233,
José Wagner de Oliveira Melatto Peixoto,7/17/1956,27.5232876712,
Silmar Fernandes,4/3/1962,25.7808219178,
Cesar Luiz de Almeida,10/18/1954,24.9835616438,
Aguinaldo de Freitas Filho,8/26/1959,24.9835616438,
Adalberto José Queiroz Telles de Camargo Aranha Filho,7/2/1961,24.9835616438,
Carlos Alberto de Campos Mendes Pereira,1/1/1963,24.9835616438,
Flora Maria Nesi Tossi Silva,12/5/1963,24.9835616438,
Claudio Luiz Bueno de Godoy,7/11/1964,24.9835616438,
José Roberto Furquim Cabella,3/24/1953,26.6191780822,
Milton Paulo de Carvalho Filho,3/3/1961,25.7808219178,
Reinaldo Cintra Torres de Carvalho,9/10/1958,24.9835616438,
Samuel Francisco Mourão Neto,5/14/1962,24.9835616438,
Denise Andréa Martins Retamero,7/19/1964,24.9835616438,
Claudio Augusto Pedrassi,11/21/1964,24.9835616438,
Antonio Alvaro Castello,8/29/1948,29.9726027397,
Edson Luiz de Queiróz,4/15/1958,24.9835616438,
Roberto Maia Filho,6/1/1963,24.5534246575,
Cassiano Ricardo Zorzi Rocha,12/18/1963,25.7808219178,
Carlos Fonseca Monnerat,1/26/1955,24.9835616438,
Ronaldo Alves de Andrade,5/20/1961,24.5534246575,
Walter Rocha Barone,1/11/1965,24.5534246575,
Marcelo Fortes Barbosa Filho,7/14/1965,24.5534246575,
Lucila Toledo Pedroso de Barros,7/18/1965,24.5534246575,
Carlos Eduardo Andrade Sampaio,10/21/1948,34.8191780822,
Marcos Gozzo,1/1/1956,26.6191780822,
Kenarik Boujikian,3/7/1959,24.9178082192,
João Batista Amorim de Vilhena Nunes,5/15/1965,24.5534246575,
Ramon Mateo Júnior,11/4/1960,24.1671232877,
Alcides Leopoldo e Silva Júnior,11/7/1959,29.9726027397,
Elói Estevão Troly,10/27/1959,28.1561643836,
José Maria Câmara Júnior,1/9/1961,27.5232876712,
Amable Lopez Soto,5/11/1962,24.5534246575,
Gilda Cerqueira Alves Barbosa Amaral Diodatti,3/22/1966,24.1671232877,
Carlos Vieira Von Adamek,3/9/1963,24.9835616438,
Cláudio Antonio Marques da Silva,5/30/1948,24.5534246575,
Marcia Regina Dalla Déa Barone,12/26/1962,24.5534246575,
Kleber Leyser de Aquino,12/8/1957,24.9835616438,
Maurício Valala,10/12/1960,24.1671232877,
Ricardo Anders de Araújo,5/22/1958,31.9287671233,
Hamid Charaf Bdine Júnior,9/23/1962,25.7808219178,
Ligia Donati Cajon,12/17/1959,24.5534246575,
Julio Caio Farto Salles,9/3/1962,24.5534246575,
Maurício Fiorito,2/2/1962,24.1671232877,
Décio Luiz José Rodrigues,9/29/1965,24.1671232877,
Afonso de Barros Faro Júnior,3/8/1965,24.1260273973,
Claudia Lucia Fonseca Fanucchi,3/30/1963,23.7616438356,
Fabio Henrique Podestá,12/3/1964,23.7616438356,
César Santos Peixoto,1/30/1965,23.7616438356,
Luís Roberto Reuter Torro,12/7/1957,26.6191780822,
Maria Isabel Caponero Cogan,7/31/1961,24.1671232877,
Carlos Dias Motta,11/6/1963,24.1671232877,
Ana Lucia Romanhole Martucci,4/11/1964,24.1671232877,
Alexandre Carvalho e Silva de Almeida,7/14/1965,23.7616438356,
Marcelo Coutinho Gordo,9/28/1965,23.7616438356,
Gilson Delgado Miranda,5/27/1965,23.7616438356,
Juscelino Batista,1/16/1955,27.5232876712,
Luis Augusto de Sampaio Arruda,8/28/1964,24.5534246575,
Eduardo Crescenti Abdalla,6/3/1965,24.1671232877,
Cesar Augusto Andrade de Castro,7/23/1952,23.7616438356,
Alexandre Augusto Pinto Moreira Marcondes,9/22/1957,23.3479452055,
Aloisio Sérgio Rezende Silveira,11/10/1964,24.9835616438,
Rosangela Maria Telles,4/6/1961,23.7616438356,
Carmen Lucia da Silva,8/26/1964,23.7616438356,
Iasin Issa Ahmed,8/22/1959,27.5232876712,
Francisco de Assis Cricci,9/14/1952,24.9835616438,
Nuncio Theophilo Neto,5/30/1958,24.9835616438,
Claudio Lima Bueno de Camargo,6/30/1956,24.5534246575,
Luis Fernando Camargo de Barros Vidal,9/5/1964,24.1671232877,
Sérgio Mazina Martins,7/27/1960,23.7616438356,
Monica Salles Penna Machado,9/9/1960,23.7616438356,
Lauro Mens de Mello,9/30/1962,23.7616438356,
Ricardo Cunha Chimenti,6/6/1964,23.7616438356,
Antonio Carlos Alves Braga Júnior,5/8/1966,23.7616438356,
Marcelo Semer,3/13/1966,23.7479452055,
José Henrique Fortes Muniz Júnior,11/12/1959,23.3479452055,
Ivana David,7/3/1962,23.3479452055,
Silvia Maria Meirelles Novaes de Andrade,7/8/1963,23.3479452055,
Djalma Rubens Lofrano Filho,3/16/1964,23.3479452055,
Lidia Maria Andrade Conceição,10/4/1964,23.3479452055,
Maria de Lourdes Lopez Gil Cimino,3/29/1966,23.3479452055,
Afonso Celso da Silva,12/11/1966,23.3479452055,
Nelson Fonseca Junior,1/30/1965,22.9589041096,
Airton Vieira,2/5/1965,22.9589041096,
Renato Genzani Filho,12/1/1964,23.7616438356,
Xisto Albarelli Rangel Neto,5/10/1966,23.3479452055,
Hélio Nogueira,8/23/1950,22.9589041096,
Tercio Pires,10/1/1961,22.9589041096,
José Aparicio Coelho Prado Neto,2/7/1951,26.6191780822,
José da Ponte Neto,1/15/1956,23.7616438356,
Marcelo Lopes Theodosio,1/21/1964,22.9589041096,
Laerte Marrone de Castro Sampaio,1/12/1967,22.9589041096,
Clarice Salles de Carvalho Rosa,11/25/1945,26.6191780822,
Pedro Paulo Maillet Preuss,4/29/1963,25.7808219178,
José Zoéga Coelho,11/26/1963,24.9835616438,
José Carlos de Lucca,10/25/1961,24.5534246575,
Heitor Luiz Ferreira do Amparo,12/15/1947,37.3616438356,
Ricardo Braga Monte Serrat,4/9/1954,35.9068493151,
Antonio Carlos Táfari,8/17/1945,34.1315068493,
Jaime Ferreira Menino,4/20/1946,34.1315068493,
Antonio Benedito Morello,12/12/1955,34.1315068493,
Ivan Rodrigues de Andrade,9/21/1949,31.9287671233,
Antonio Roberto Sylla,8/7/1954,30.8054794521,
Dario Gayoso Júnior,5/23/1957,30.8054794521,
Paulo Roberto da Silva,1/23/1954,29.9726027397,
Antonio Sérgio Reis de Azevedo,6/11/1955,29.9726027397,
João Sartori Pires,1/27/1958,29.9726027397,
José Roberto Nogueira Nascimento,3/7/1959,29.9726027397,
Junio Cláudio Campos Furtado,3/30/1959,29.9726027397,
Ernani Desco Filho,7/16/1952,28.7643835616,
Themístocles Barbosa Ferreira Neto,12/1/1955,28.7643835616,
Eduardo Velho Neto,12/29/1959,28.7643835616,
